…Ó∂»	…˘ÀŸ
2	1541.44
4	1541.42
6	1541.37
8	1541.33
10	1541.33
12	1541.26
14	1541.24
16	1541.19
18	1541.17
20	1541.15
22	1541.15
24	1541.13
26	1541.13
28	1541.13
30	1541.11
32	1541.11
34	1541.11
36	1541.09
38	1541.05
40	1541.01
42	1540.96
44	1540.9
46	1540.76
48	1540.66
50	1540.25
52	1539.16
54	1538.24
56	1537.61
58	1537.46
60	1536.38
62	1536.18
64	1535.46
66	1534.6
68	1533.22
70	1532.89
72	1531.57
74	1531.15
76	1530.59
78	1530.15
80	1528.65
82	1527.11
84	1526.34
86	1525.62
88	1524.65
90	1523.77
92	1522.91
94	1522.1
96	1521.73
98	1521.37
100	1520.86
102	1520.36
104	1519.9
106	1519.3
108	1519.02
110	1518.64
112	1518.35
114	1518.32
116	1518.05
118	1517.61
120	1517.47
122	1517.33
124	1517
126	1516.68
128	1516.03
130	1515.8
132	1515.68
134	1515.51
136	1515.39
138	1515.16
140	1514.47
142	1513.96
144	1513.82
146	1513.79
148	1513.43
150	1513.05
152	1513.05
154	1512.99
156	1512.69
158	1512.58
160	1512.43
162	1512.18
164	1512.03
166	1511.93
168	1511.71
170	1511.5
172	1511.19
174	1511.04
176	1510.98
178	1510.83
180	1510.66
182	1510.44
184	1510.2
186	1509.9
188	1509.59
190	1509.21
192	1509.02
194	1508.99
196	1508.96
198	1508.72
200	1508.53
202	1508.06
204	1507.71
206	1507.01
208	1506.43
210	1506.31
212	1506.14
214	1505.95
216	1505.79
218	1505.63
220	1505.5
222	1505.46
224	1505.21
226	1504.88
228	1504.75
230	1504.62
232	1504.16
234	1503.77
236	1503.44
238	1503.05
240	1502.85
242	1502.55
244	1502.25
246	1502.02
248	1501.85
250	1501.75
252	1501.65
254	1501.58
256	1501.55
258	1501.45
260	1501.35
262	1501.15
264	1501.05
266	1500.75
268	1500.65
270	1500.61
272	1500.48
274	1500.41
276	1500.18
278	1500.11
280	1499.97
282	1499.64
284	1499.6
286	1499.57
288	1499.43
290	1499.26
292	1499.16
294	1499.13
296	1499.09
298	1499.02
300	1498.96
302	1498.86
304	1498.79
306	1498.75
308	1498.69
310	1498.62
312	1498.17
314	1497.93
316	1497.69
318	1497.42
320	1497.35
322	1497.21
324	1497
326	1496.62
328	1496.45
330	1496.38
332	1496.24
334	1496.1
336	1496
338	1495.65
340	1495.44
342	1495.3
344	1495.09
346	1495.02
348	1494.95
350	1494.81
352	1494.6
354	1494.53
356	1494.32
358	1494.29
360	1494.25
362	1494.22
364	1494.18
366	1494.08
