…Ó∂»	…˘ÀŸ
2	1541.44
4	1541.42
6	1541.38
8	1541.33
10	1541.33
12	1541.26
14	1541.24
16	1541.2
18	1541.18
20	1541.15
22	1541.15
24	1541.13
26	1541.13
28	1541.13
30	1541.11
32	1541.11
34	1541.12
36	1541.1
38	1541.06
40	1541.01
42	1540.97
44	1540.91
46	1540.77
48	1540.67
50	1540.26
52	1539.17
54	1538.25
56	1537.62
58	1537.47
60	1536.4
62	1536.19
64	1535.48
66	1534.61
68	1533.24
70	1532.9
72	1531.59
74	1531.17
76	1530.6
78	1530.17
80	1528.66
82	1527.12
84	1526.35
86	1525.64
88	1524.67
90	1523.78
92	1522.92
94	1522.11
96	1521.74
98	1521.38
100	1520.87
102	1520.37
104	1519.92
106	1519.31
108	1519.04
110	1518.65
112	1518.36
114	1518.34
116	1518.07
118	1517.63
120	1517.49
122	1517.35
124	1517.02
126	1516.7
128	1516.05
130	1515.82
132	1515.7
134	1515.53
136	1515.41
138	1515.18
140	1514.49
142	1513.99
144	1513.84
146	1513.81
148	1513.45
150	1513.07
152	1513.07
154	1513.01
156	1512.71
158	1512.6
160	1512.46
162	1512.21
164	1512.05
166	1511.95
168	1511.74
170	1511.53
172	1511.22
174	1511.06
176	1511
178	1510.85
180	1510.68
182	1510.47
184	1510.23
186	1509.92
188	1509.61
190	1509.24
192	1509.05
194	1509.02
196	1508.99
198	1508.74
200	1508.55
202	1508.08
204	1507.74
206	1507.04
208	1506.46
210	1506.33
212	1506.17
214	1505.98
216	1505.82
218	1505.65
220	1505.53
222	1505.49
224	1505.24
226	1504.91
228	1504.78
230	1504.65
232	1504.19
234	1503.8
236	1503.47
238	1503.08
240	1502.88
242	1502.58
244	1502.28
246	1502.05
248	1501.88
250	1501.78
252	1501.68
254	1501.62
256	1501.58
258	1501.48
260	1501.38
262	1501.18
264	1501.08
266	1500.78
268	1500.68
270	1500.65
272	1500.51
274	1500.45
276	1500.21
278	1500.14
280	1500.01
282	1499.67
284	1499.64
286	1499.6
288	1499.47
290	1499.3
292	1499.2
294	1499.16
296	1499.13
298	1499.06
300	1499
302	1498.89
304	1498.83
306	1498.79
308	1498.73
310	1498.66
312	1498.21
314	1497.97
316	1497.73
318	1497.46
320	1497.39
322	1497.25
324	1497.05
326	1496.67
328	1496.49
330	1496.42
332	1496.28
334	1496.15
336	1496.04
338	1495.7
340	1495.49
342	1495.35
344	1495.14
346	1495.07
348	1495
350	1494.86
352	1494.65
354	1494.58
356	1494.37
358	1494.33
360	1494.3
362	1494.26
364	1494.23
366	1494.12
